100640425
tensor(0.2516, device='cuda:0')
tensor(0.3404, device='cuda:0')
tensor(0.8672, device='cuda:0')
tensor(0.3081, device='cuda:0')
tensor(0.5160, device='cuda:0')
tensor(0.3689, device='cuda:0')
tensor(0.4271, device='cuda:0')
tensor(0.4177, device='cuda:0')
tensor(0.3276, device='cuda:0')
tensor(0.2933, device='cuda:0')
tensor(0.4374, device='cuda:0')
tensor(0.4074, device='cuda:0')
tensor(0.3853, device='cuda:0')
tensor(0.4293, device='cuda:0')
tensor(0.2388, device='cuda:0')
tensor(0.3991, device='cuda:0')
tensor(0.3874, device='cuda:0')
tensor(1.9763, device='cuda:0')
tensor(0.4766, device='cuda:0')
tensor(1.2724, device='cuda:0')
tensor(1.7557, device='cuda:0')
tensor(0.5597, device='cuda:0')
tensor(1.3442, device='cuda:0')
tensor(0.4711, device='cuda:0')
tensor(1.4057, device='cuda:0')
tensor(0.6793, device='cuda:0')
tensor(0.3767, device='cuda:0')
tensor(0.2950, device='cuda:0')
tensor(0.4691, device='cuda:0')
tensor(0.6240, device='cuda:0')
tensor(0.4463, device='cuda:0')
tensor(0.3677, device='cuda:0')
tensor(1.3383, device='cuda:0')
tensor(0.3230, device='cuda:0')
tensor(0.4850, device='cuda:0')
tensor(0.5037, device='cuda:0')
tensor(0.3934, device='cuda:0')
tensor(1.4518, device='cuda:0')
tensor(0.4460, device='cuda:0')
tensor(0.3224, device='cuda:0')
tensor(0.6131, device='cuda:0')
tensor(0.3430, device='cuda:0')
tensor(0.3337, device='cuda:0')
tensor(0.4495, device='cuda:0')
tensor(0.7399, device='cuda:0')
tensor(0.4101, device='cuda:0')
tensor(0.2824, device='cuda:0')
tensor(0.7655, device='cuda:0')
tensor(0.3923, device='cuda:0')
tensor(0.5420, device='cuda:0')
tensor(0.4413, device='cuda:0')
tensor(0.4137, device='cuda:0')
tensor(1.2077, device='cuda:0')
tensor(0.3994, device='cuda:0')
tensor(0.4040, device='cuda:0')
tensor(0.4718, device='cuda:0')
tensor(0.3374, device='cuda:0')
tensor(0.5046, device='cuda:0')
tensor(0.7062, device='cuda:0')
tensor(0.3050, device='cuda:0')
tensor(0.2521, device='cuda:0')
tensor(0.3596, device='cuda:0')
tensor(0.4233, device='cuda:0')
tensor(0.3623, device='cuda:0')
tensor(0.4869, device='cuda:0')
tensor(0.3031, device='cuda:0')
tensor(0.3404, device='cuda:0')
tensor(0.6691, device='cuda:0')
tensor(0.2865, device='cuda:0')
tensor(0.2258, device='cuda:0')
tensor(0.3064, device='cuda:0')
tensor(0.2434, device='cuda:0')
tensor(0.6647, device='cuda:0')
tensor(0.3534, device='cuda:0')
tensor(0.3543, device='cuda:0')
tensor(0.2693, device='cuda:0')
tensor(0.4986, device='cuda:0')
tensor(0.4348, device='cuda:0')
tensor(0.4800, device='cuda:0')
tensor(0.3965, device='cuda:0')
tensor(0.3893, device='cuda:0')
tensor(0.2339, device='cuda:0')
tensor(0.4905, device='cuda:0')
tensor(0.3081, device='cuda:0')
tensor(0.5125, device='cuda:0')
tensor(0.4575, device='cuda:0')
tensor(1.3580, device='cuda:0')
tensor(0.4277, device='cuda:0')
tensor(0.6430, device='cuda:0')
tensor(0.3627, device='cuda:0')
tensor(0.5500, device='cuda:0')
tensor(0.4094, device='cuda:0')
tensor(0.4518, device='cuda:0')
tensor(0.4691, device='cuda:0')
tensor(0.4158, device='cuda:0')
tensor(0.5144, device='cuda:0')
tensor(0.4924, device='cuda:0')
tensor(1.5982, device='cuda:0')
tensor(0.5495, device='cuda:0')
tensor(0.3412, device='cuda:0')
tensor(0.5046, device='cuda:0')
tensor(0.3666, device='cuda:0')
tensor(0.8796, device='cuda:0')
tensor(0.4096, device='cuda:0')
tensor(0.3666, device='cuda:0')
tensor(0.4604, device='cuda:0')
tensor(0.3262, device='cuda:0')
tensor(0.4646, device='cuda:0')
tensor(0.7027, device='cuda:0')
tensor(0.3302, device='cuda:0')
tensor(0.4249, device='cuda:0')
tensor(0.3840, device='cuda:0')
tensor(0.4794, device='cuda:0')
tensor(0.3806, device='cuda:0')
tensor(0.3122, device='cuda:0')
tensor(0.4982, device='cuda:0')
tensor(1.7827, device='cuda:0')
tensor(0.7345, device='cuda:0')
tensor(0.3674, device='cuda:0')
tensor(0.4399, device='cuda:0')
tensor(0.4499, device='cuda:0')
tensor(0.1958, device='cuda:0')
tensor(0.2763, device='cuda:0')
tensor(0.3601, device='cuda:0')
tensor(0.6549, device='cuda:0')
tensor(1.1907, device='cuda:0')
tensor(0.4399, device='cuda:0')
tensor(0.5978, device='cuda:0')
tensor(0.5958, device='cuda:0')
tensor(0.3321, device='cuda:0')
tensor(0.5325, device='cuda:0')
tensor(0.4432, device='cuda:0')
tensor(0.4908, device='cuda:0')
tensor(0.5288, device='cuda:0')
tensor(0.3975, device='cuda:0')
tensor(0.2958, device='cuda:0')
tensor(0.3224, device='cuda:0')
tensor(0.7514, device='cuda:0')
tensor(0.2665, device='cuda:0')
tensor(0.3360, device='cuda:0')
tensor(0.2269, device='cuda:0')
tensor(0.6070, device='cuda:0')
tensor(0.3370, device='cuda:0')
tensor(0.5060, device='cuda:0')
tensor(0.3595, device='cuda:0')
tensor(0.3064, device='cuda:0')
tensor(0.3685, device='cuda:0')
tensor(0.3292, device='cuda:0')
tensor(0.5507, device='cuda:0')
tensor(0.3460, device='cuda:0')
tensor(0.4614, device='cuda:0')
tensor(0.5690, device='cuda:0')
tensor(0.4737, device='cuda:0')
tensor(0.3513, device='cuda:0')
tensor(0.5834, device='cuda:0')
tensor(0.4248, device='cuda:0')
tensor(0.2221, device='cuda:0')
tensor(0.6367, device='cuda:0')
tensor(0.7064, device='cuda:0')
tensor(0.4070, device='cuda:0')
tensor(0.2829, device='cuda:0')
tensor(0.4359, device='cuda:0')
tensor(0.3000, device='cuda:0')
tensor(0.7090, device='cuda:0')
tensor(0.8639, device='cuda:0')
tensor(0.3831, device='cuda:0')
tensor(0.2162, device='cuda:0')
tensor(0.3476, device='cuda:0')
tensor(0.5126, device='cuda:0')
